path,filename,duration,fps,width,height,resolution,status
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos919_x264.mp4,Normal_Videos919_x264.mp4,12.07,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos413_x264.mp4,Normal_Videos413_x264.mp4,80.78,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos198_x264.mp4,Normal_Videos198_x264.mp4,74.75,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos108_x264.mp4,Normal_Videos108_x264.mp4,59.09,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos506_x264.mp4,Normal_Videos506_x264.mp4,40.47,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos326_x264.mp4,Normal_Videos326_x264.mp4,49.09,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos_884_x264.mp4,Normal_Videos_884_x264.mp4,301.11,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos644_x264.mp4,Normal_Videos644_x264.mp4,48.12,25.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos_603_x264.mp4,Normal_Videos_603_x264.mp4,109.25,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos115_x264.mp4,Normal_Videos115_x264.mp4,10.0,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos213_x264.mp4,Normal_Videos213_x264.mp4,59.57,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos609_x264.mp4,Normal_Videos609_x264.mp4,20.11,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos544_x264.mp4,Normal_Videos544_x264.mp4,2012.07,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos472_x264.mp4,Normal_Videos472_x264.mp4,6026.77,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos766_x264.mp4,Normal_Videos766_x264.mp4,13.35,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos685_x264.mp4,Normal_Videos685_x264.mp4,42.68,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos055_x264.mp4,Normal_Videos055_x264.mp4,8.38,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos264_x264.mp4,Normal_Videos264_x264.mp4,130.01,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos123_x264.mp4,Normal_Videos123_x264.mp4,739.02,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos852_x264.mp4,Normal_Videos852_x264.mp4,92.35,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos604_x264.mp4,Normal_Videos604_x264.mp4,48.09,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos445_x264.mp4,Normal_Videos445_x264.mp4,70.7,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos442_x264.mp4,Normal_Videos442_x264.mp4,59.88,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos404_x264.mp4,Normal_Videos404_x264.mp4,115.77,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos753_x264.mp4,Normal_Videos753_x264.mp4,29.53,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos039_x264.mp4,Normal_Videos039_x264.mp4,59.74,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos457_x264.mp4,Normal_Videos457_x264.mp4,58.56,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos429_x264.mp4,Normal_Videos429_x264.mp4,114.5,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos739_x264.mp4,Normal_Videos739_x264.mp4,43.4,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos_782_x264.mp4,Normal_Videos_782_x264.mp4,184.81,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos399_x264.mp4,Normal_Videos399_x264.mp4,113.37,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos_717_x264.mp4,Normal_Videos_717_x264.mp4,41.89,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos232_x264.mp4,Normal_Videos232_x264.mp4,49.88,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos141_x264.mp4,Normal_Videos141_x264.mp4,409.76,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos414_x264.mp4,Normal_Videos414_x264.mp4,17.6,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos_634_x264.mp4,Normal_Videos_634_x264.mp4,448.66,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos637_x264.mp4,Normal_Videos637_x264.mp4,68.1,30.0,320,240,320x240,OK
../UCF_MERGED/Normal/Normal_Videos_for_Event_Recognition/Normal_Videos080_x264.mp4,Normal_Videos080_x264.mp4,78.16,30.0,320,240,320x240,OK
